StateCode,Year,Data,introduction
CA,2009,628201.1138,Renewable energy (other than fuel ethanol)
TX,2009,280479.6965,Renewable energy (other than fuel ethanol)
AZ,2009,80947.77168,Renewable energy (other than fuel ethanol)
NM,2009,29973.36798,Renewable energy (other than fuel ethanol)
CA,2008,588923.1704,Renewable energy (other than fuel ethanol)
TX,2008,271826.4007,Renewable energy (other than fuel ethanol)
AZ,2008,89571.43682,Renewable energy (other than fuel ethanol)
NM,2008,31942.04935,Renewable energy (other than fuel ethanol)
CA,2007,619834.682,Renewable energy (other than fuel ethanol)
TX,2007,192261.4163,Renewable energy (other than fuel ethanol)
AZ,2007,80288.21062,Renewable energy (other than fuel ethanol)
NM,2007,28791.63891,Renewable energy (other than fuel ethanol)
CA,2006,816875.8156,Renewable energy (other than fuel ethanol)
TX,2006,152714.6303,Renewable energy (other than fuel ethanol)
AZ,2006,81533.37169,Renewable energy (other than fuel ethanol)
NM,2006,25664.70975,Renewable energy (other than fuel ethanol)
CA,2005,738895.052,Renewable energy (other than fuel ethanol)
TX,2005,137564.5865,Renewable energy (other than fuel ethanol)
AZ,2005,78743.84169,Renewable energy (other than fuel ethanol)
NM,2005,21302.06495,Renewable energy (other than fuel ethanol)
CA,2004,696717.3346,Renewable energy (other than fuel ethanol)
TX,2004,120886.6667,Renewable energy (other than fuel ethanol)
AZ,2004,81735.55497,Renewable energy (other than fuel ethanol)
NM,2004,10298.52275,Renewable energy (other than fuel ethanol)
CA,2003,724528.9369,Renewable energy (other than fuel ethanol)
TX,2003,115899.6095,Renewable energy (other than fuel ethanol)
AZ,2003,84174.63139,Renewable energy (other than fuel ethanol)
NM,2003,7311.99791,Renewable energy (other than fuel ethanol)
CA,2002,675291.8556,Renewable energy (other than fuel ethanol)
TX,2002,121061.9406,Renewable energy (other than fuel ethanol)
AZ,2002,87119.08004,Renewable energy (other than fuel ethanol)
NM,2002,6708.40352,Renewable energy (other than fuel ethanol)
CA,2001,607385.3085,Renewable energy (other than fuel ethanol)
TX,2001,96563.3496,Renewable energy (other than fuel ethanol)
AZ,2001,90726.10341,Renewable energy (other than fuel ethanol)
NM,2001,6550.02322,Renewable energy (other than fuel ethanol)
CA,2000,736831.6503,Renewable energy (other than fuel ethanol)
AZ,2000,101173.029,Renewable energy (other than fuel ethanol)
TX,2000,96346.13836,Renewable energy (other than fuel ethanol)
NM,2000,7912.20047,Renewable energy (other than fuel ethanol)
CA,1999,760406.2774,Renewable energy (other than fuel ethanol)
AZ,1999,115266.0058,Renewable energy (other than fuel ethanol)
TX,1999,94267.21986,Renewable energy (other than fuel ethanol)
NM,1999,7885.34869,Renewable energy (other than fuel ethanol)
CA,1998,832443.5169,Renewable energy (other than fuel ethanol)
AZ,1998,126789.6308,Renewable energy (other than fuel ethanol)
TX,1998,110086.5272,Renewable energy (other than fuel ethanol)
NM,1998,7180.88409,Renewable energy (other than fuel ethanol)
CA,1997,759836.7348,Renewable energy (other than fuel ethanol)
AZ,1997,141734.1489,Renewable energy (other than fuel ethanol)
TX,1997,122677.2841,Renewable energy (other than fuel ethanol)
NM,1997,7913.06747,Renewable energy (other than fuel ethanol)
CA,1996,817468.1557,Renewable energy (other than fuel ethanol)
AZ,1996,112268.7753,Renewable energy (other than fuel ethanol)
TX,1996,110543.9195,Renewable energy (other than fuel ethanol)
NM,1996,6949.93737,Renewable energy (other than fuel ethanol)
CA,1995,845540.2014,Renewable energy (other than fuel ethanol)
TX,1995,117897.9075,Renewable energy (other than fuel ethanol)
AZ,1995,104031.3196,Renewable energy (other than fuel ethanol)
NM,1995,7463.53536,Renewable energy (other than fuel ethanol)
CA,1994,632921.4079,Renewable energy (other than fuel ethanol)
TX,1994,114104.0195,Renewable energy (other than fuel ethanol)
AZ,1994,93601.96834,Renewable energy (other than fuel ethanol)
NM,1994,6888.26566,Renewable energy (other than fuel ethanol)
CA,1993,820170.919,Renewable energy (other than fuel ethanol)
TX,1993,117234.4637,Renewable energy (other than fuel ethanol)
AZ,1993,86746.38756,Renewable energy (other than fuel ethanol)
NM,1993,7844.05615,Renewable energy (other than fuel ethanol)
CA,1992,641661.3891,Renewable energy (other than fuel ethanol)
TX,1992,133800.4001,Renewable energy (other than fuel ethanol)
AZ,1992,87592.987,Renewable energy (other than fuel ethanol)
NM,1992,7577.7747,Renewable energy (other than fuel ethanol)
CA,1991,652962.2816,Renewable energy (other than fuel ethanol)
TX,1991,120272.8576,Renewable energy (other than fuel ethanol)
AZ,1991,88844.17798,Renewable energy (other than fuel ethanol)
NM,1991,7253.94548,Renewable energy (other than fuel ethanol)
CA,1990,668856.618,Renewable energy (other than fuel ethanol)
TX,1990,115244.4985,Renewable energy (other than fuel ethanol)
AZ,1990,94816.36936,Renewable energy (other than fuel ethanol)
NM,1990,6724.90339,Renewable energy (other than fuel ethanol)
CA,1989,738333.7449,Renewable energy (other than fuel ethanol)
TX,1989,125398.6737,Renewable energy (other than fuel ethanol)
AZ,1989,101553.8173,Renewable energy (other than fuel ethanol)
NM,1989,7348.16428,Renewable energy (other than fuel ethanol)
CA,1988,511430.2155,Renewable energy (other than fuel ethanol)
TX,1988,108867.706,Renewable energy (other than fuel ethanol)
AZ,1988,98749.30689,Renewable energy (other than fuel ethanol)
NM,1988,6430.24181,Renewable energy (other than fuel ethanol)
CA,1987,522005.6422,Renewable energy (other than fuel ethanol)
AZ,1987,123113.582,Renewable energy (other than fuel ethanol)
TX,1987,116837.0131,Renewable energy (other than fuel ethanol)
NM,1987,6833.76265,Renewable energy (other than fuel ethanol)
CA,1986,666370.3185,Renewable energy (other than fuel ethanol)
AZ,1986,175102.7767,Renewable energy (other than fuel ethanol)
TX,1986,110298.2193,Renewable energy (other than fuel ethanol)
NM,1986,9838.89255,Renewable energy (other than fuel ethanol)
CA,1985,592910.3155,Renewable energy (other than fuel ethanol)
AZ,1985,171680.4225,Renewable energy (other than fuel ethanol)
TX,1985,93473.37618,Renewable energy (other than fuel ethanol)
NM,1985,9225.50575,Renewable energy (other than fuel ethanol)
CA,1984,693614.2766,Renewable energy (other than fuel ethanol)
AZ,1984,188831.349,Renewable energy (other than fuel ethanol)
TX,1984,87009.38988,Renewable energy (other than fuel ethanol)
NM,1984,8678.39179,Renewable energy (other than fuel ethanol)
CA,1983,807127.7762,Renewable energy (other than fuel ethanol)
AZ,1983,175992.8019,Renewable energy (other than fuel ethanol)
TX,1983,75771.11775,Renewable energy (other than fuel ethanol)
NM,1983,8353.62985,Renewable energy (other than fuel ethanol)
CA,1982,698981.1158,Renewable energy (other than fuel ethanol)
AZ,1982,94926.31913,Renewable energy (other than fuel ethanol)
TX,1982,80427.42333,Renewable energy (other than fuel ethanol)
NM,1982,7687.77806,Renewable energy (other than fuel ethanol)
CA,1981,502231.5458,Renewable energy (other than fuel ethanol)
AZ,1981,92565.30497,Renewable energy (other than fuel ethanol)
TX,1981,70512.4165,Renewable energy (other than fuel ethanol)
NM,1981,7629.45977,Renewable energy (other than fuel ethanol)
CA,1980,591927.6271,Renewable energy (other than fuel ethanol)
AZ,1980,120006.4291,Renewable energy (other than fuel ethanol)
TX,1980,65818.6753,Renewable energy (other than fuel ethanol)
NM,1980,6222.6322,Renewable energy (other than fuel ethanol)
CA,1979,559805.6495,Renewable energy (other than fuel ethanol)
TX,1979,89720.8005,Renewable energy (other than fuel ethanol)
AZ,1979,83413.77083,Renewable energy (other than fuel ethanol)
NM,1979,9921.6861,Renewable energy (other than fuel ethanol)
CA,1978,576600.8718,Renewable energy (other than fuel ethanol)
TX,1978,84175.21416,Renewable energy (other than fuel ethanol)
AZ,1978,79869.7173,Renewable energy (other than fuel ethanol)
NM,1978,7989.09471,Renewable energy (other than fuel ethanol)
CA,1977,338072.6862,Renewable energy (other than fuel ethanol)
TX,1977,82565.80703,Renewable energy (other than fuel ethanol)
AZ,1977,75680.87057,Renewable energy (other than fuel ethanol)
NM,1977,7327.52063,Renewable energy (other than fuel ethanol)
CA,1976,422851.6023,Renewable energy (other than fuel ethanol)
AZ,1976,84428.48089,Renewable energy (other than fuel ethanol)
TX,1976,75964.66534,Renewable energy (other than fuel ethanol)
NM,1976,6781.05597,Renewable energy (other than fuel ethanol)
CA,1975,578577.8801,Renewable energy (other than fuel ethanol)
AZ,1975,80897.34186,Renewable energy (other than fuel ethanol)
TX,1975,75871.68555,Renewable energy (other than fuel ethanol)
NM,1975,6002.3454,Renewable energy (other than fuel ethanol)
CA,1974,645073.0418,Renewable energy (other than fuel ethanol)
AZ,1974,82058.08613,Renewable energy (other than fuel ethanol)
TX,1974,76691.32086,Renewable energy (other than fuel ethanol)
NM,1974,4918.59476,Renewable energy (other than fuel ethanol)
CA,1973,553161.7389,Renewable energy (other than fuel ethanol)
AZ,1973,79348.45429,Renewable energy (other than fuel ethanol)
TX,1973,78101.59584,Renewable energy (other than fuel ethanol)
NM,1973,4895.8681,Renewable energy (other than fuel ethanol)
CA,1972,472311.9171,Renewable energy (other than fuel ethanol)
AZ,1972,75188.74432,Renewable energy (other than fuel ethanol)
TX,1972,67559.72792,Renewable energy (other than fuel ethanol)
NM,1972,4745.50766,Renewable energy (other than fuel ethanol)
CA,1971,533790.0941,Renewable energy (other than fuel ethanol)
AZ,1971,74136.25194,Renewable energy (other than fuel ethanol)
TX,1971,60470.71299,Renewable energy (other than fuel ethanol)
NM,1971,4964.65394,Renewable energy (other than fuel ethanol)
CA,1970,521978.1167,Renewable energy (other than fuel ethanol)
AZ,1970,68919.16257,Renewable energy (other than fuel ethanol)
TX,1970,62756.82021,Renewable energy (other than fuel ethanol)
NM,1970,5547.61237,Renewable energy (other than fuel ethanol)
CA,1969,544918.0085,Renewable energy (other than fuel ethanol)
AZ,1969,67840.06237,Renewable energy (other than fuel ethanol)
TX,1969,64351.45971,Renewable energy (other than fuel ethanol)
NM,1969,5681.81484,Renewable energy (other than fuel ethanol)
CA,1968,397365.9154,Renewable energy (other than fuel ethanol)
AZ,1968,63456.3526,Renewable energy (other than fuel ethanol)
TX,1968,62938.87125,Renewable energy (other than fuel ethanol)
NM,1968,5705.58598,Renewable energy (other than fuel ethanol)
CA,1967,473191.9968,Renewable energy (other than fuel ethanol)
AZ,1967,56422.66903,Renewable energy (other than fuel ethanol)
TX,1967,49944.1609,Renewable energy (other than fuel ethanol)
NM,1967,5678.48447,Renewable energy (other than fuel ethanol)
CA,1966,375877.0183,Renewable energy (other than fuel ethanol)
AZ,1966,58059.82217,Renewable energy (other than fuel ethanol)
TX,1966,51980.12089,Renewable energy (other than fuel ethanol)
NM,1966,6209.5118,Renewable energy (other than fuel ethanol)
CA,1965,418517.8278,Renewable energy (other than fuel ethanol)
AZ,1965,50095.02821,Renewable energy (other than fuel ethanol)
TX,1965,48966.77921,Renewable energy (other than fuel ethanol)
NM,1965,6074.90564,Renewable energy (other than fuel ethanol)
CA,1964,331756.585,Renewable energy (other than fuel ethanol)
TX,1964,43884.2564,Renewable energy (other than fuel ethanol)
AZ,1964,34270.82091,Renewable energy (other than fuel ethanol)
NM,1964,6299.60702,Renewable energy (other than fuel ethanol)
CA,1963,360333.3104,Renewable energy (other than fuel ethanol)
TX,1963,42717.86659,Renewable energy (other than fuel ethanol)
AZ,1963,34861.20332,Renewable energy (other than fuel ethanol)
NM,1963,6468.79948,Renewable energy (other than fuel ethanol)
CA,1962,329045.7467,Renewable energy (other than fuel ethanol)
TX,1962,47721.24979,Renewable energy (other than fuel ethanol)
AZ,1962,34533.37394,Renewable energy (other than fuel ethanol)
NM,1962,6791.46314,Renewable energy (other than fuel ethanol)
CA,1961,248177.5248,Renewable energy (other than fuel ethanol)
TX,1961,52022.85304,Renewable energy (other than fuel ethanol)
AZ,1961,35082.71035,Renewable energy (other than fuel ethanol)
NM,1961,6936.51555,Renewable energy (other than fuel ethanol)
CA,1960,270161.0892,Renewable energy (other than fuel ethanol)
TX,1960,50154.98177,Renewable energy (other than fuel ethanol)
AZ,1960,36181.45337,Renewable energy (other than fuel ethanol)
NM,1960,7373.05583,Renewable energy (other than fuel ethanol)
TX,2009,2646911.2,Crude oil
CA,2009,1328165.2,Crude oil
NM,2009,354646.8,Crude oil
AZ,2009,266.8,Crude oil
TX,2008,2593041.29,Crude oil
CA,2008,1384407.8,Crude oil
NM,2008,344537.4,Crude oil
AZ,2008,301.6,Crude oil
TX,2007,2647511.143,Crude oil
CA,2007,1399992.4,Crude oil
NM,2007,341219.8,Crude oil
AZ,2007,249.4,Crude oil
TX,2006,2752514.93,Crude oil
CA,2006,1447459.6,Crude oil
NM,2006,346944.4,Crude oil
AZ,2006,319,Crude oil
TX,2005,2766663.165,Crude oil
CA,2005,1489718.4,Crude oil
NM,2005,351828,Crude oil
AZ,2005,290,Crude oil
TX,2004,2780290.245,Crude oil
CA,2004,1550108,Crude oil
NM,2004,372568.8,Crude oil
AZ,2004,301.6,Crude oil
TX,2003,2846892.68,Crude oil
CA,2003,1624000,Crude oil
NM,2003,383554,Crude oil
AZ,2003,272.6,Crude oil
TX,2002,2902191.017,Crude oil
CA,2002,1669199.4,Crude oil
NM,2002,388837.8,Crude oil
AZ,2002,365.4,Crude oil
TX,2001,2951557.721,Crude oil
CA,2001,1692242.8,Crude oil
NM,2001,394405.8,Crude oil
AZ,2001,342.2,Crude oil
TX,2000,2970430.438,Crude oil
CA,2000,1775519.2,Crude oil
NM,2000,389748.4,Crude oil
AZ,2000,342.2,Crude oil
TX,1999,2973143.694,Crude oil
CA,1999,1813770.2,Crude oil
NM,1999,373380.8,Crude oil
AZ,1999,382.8,Crude oil
TX,1998,3252953.189,Crude oil
CA,1998,1913188,Crude oil
NM,1998,419502.4,Crude oil
AZ,1998,452.4,Crude oil
TX,1997,3445784.89,Crude oil
CA,1997,1967980.6,Crude oil
NM,1997,405037.2,Crude oil
AZ,1997,475.6,Crude oil
TX,1996,3455057.855,Crude oil
CA,1996,2011602.4,Crude oil
NM,1996,373978.2,Crude oil
AZ,1996,487.2,Crude oil
TX,1995,3482313.552,Crude oil
CA,1995,2033978.8,Crude oil
NM,1995,374146.4,Crude oil
AZ,1995,411.8,Crude oil
TX,1994,3592787.71,Crude oil
CA,1994,1992700.2,Crude oil
NM,1994,381906.8,Crude oil
AZ,1994,377,Crude oil
TX,1993,3717387.877,Crude oil
CA,1993,1993628.2,Crude oil
NM,1993,396847.6,Crude oil
AZ,1993,423.4,Crude oil
TX,1992,3908960.161,Crude oil
CA,1992,2018632,Crude oil
NM,1992,405837.6,Crude oil
AZ,1992,545.2,Crude oil
TX,1991,4099176.072,Crude oil
CA,1991,2035892.8,Crude oil
NM,1991,408418.6,Crude oil
AZ,1991,643.8,Crude oil
TX,1990,4077495.555,Crude oil
CA,1990,2035214.2,Crude oil
NM,1990,390050,Crude oil
AZ,1990,701.8,Crude oil
TX,1989,4151047.322,Crude oil
CA,1989,2112650,Crude oil
NM,1989,398541.2,Crude oil
AZ,1989,794.6,Crude oil
TX,1988,4424759.916,Crude oil
CA,1988,2238875.4,Crude oil
NM,1988,413157.2,Crude oil
AZ,1988,661.2,Crude oil
TX,1987,4554605.75,Crude oil
CA,1987,2295060,Crude oil
NM,1987,419502.4,Crude oil
AZ,1987,754,Crude oil
TX,1986,4869714.8,Crude oil
CA,1986,2358657,Crude oil
NM,1986,439129.6,Crude oil
AZ,1986,933.8,Crude oil
TX,1985,5155219.8,Crude oil
CA,1985,2458486.6,Crude oil
NM,1985,455474,Crude oil
AZ,1985,1015,Crude oil
TX,1984,5247689.2,Crude oil
CA,1984,2389716,Crude oil
NM,1984,460148.8,Crude oil
AZ,1984,1247,Crude oil
TX,1983,5235520.8,Crude oil
CA,1983,2347190.4,Crude oil
NM,1983,435980.2,Crude oil
AZ,1983,1374.6,Crude oil
TX,1982,5366716.8,Crude oil
CA,1982,2329117.6,Crude oil
NM,1982,411939.2,Crude oil
AZ,1982,1943,Crude oil
TX,1981,5481765.6,Crude oil
CA,1981,2232756.4,Crude oil
NM,1981,415094.4,Crude oil
AZ,1981,2070.6,Crude oil
TX,1980,5669128.8,Crude oil
CA,1980,2070153.4,Crude oil
NM,1980,436879.2,Crude oil
AZ,1980,2354.8,Crude oil
TX,1979,5904945.2,Crude oil
CA,1979,2043154.4,Crude oil
NM,1979,461964.2,Crude oil
AZ,1979,2737.6,Crude oil
TX,1978,6229490,Crude oil
CA,1978,2013649.8,Crude oil
NM,1978,483517,Crude oil
AZ,1978,2424.4,Crude oil
TX,1977,6599704,Crude oil
CA,1977,2027732.2,Crude oil
NM,1977,505893.4,Crude oil
AZ,1977,2476.6,Crude oil
TX,1976,6899233.4,Crude oil
CA,1976,1890921.8,Crude oil
NM,1976,534354,Crude oil
AZ,1976,3010.2,Crude oil
TX,1975,7087188.2,Crude oil
CA,1975,1868754.2,Crude oil
NM,1975,551365.4,Crude oil
AZ,1975,3683,Crude oil
TX,1974,7320330.8,Crude oil
CA,1974,1873417.4,Crude oil
NM,1974,572431,Crude oil
AZ,1974,4292,Crude oil
TX,1973,7509091.8,Crude oil
CA,1973,1949235,Crude oil
NM,1973,585718.8,Crude oil
AZ,1973,4663.2,Crude oil
TX,1972,7549773,Crude oil
CA,1972,2012727.6,Crude oil
NM,1972,641045,Crude oil
AZ,1972,5759.4,Crude oil
TX,1971,7092970.8,Crude oil
CA,1971,2079207.2,Crude oil
NM,1971,686789.6,Crude oil
AZ,1971,7168.8,Crude oil
TX,1970,7248242.6,Crude oil
CA,1970,2158707.8,Crude oil
NM,1970,743467.2,Crude oil
AZ,1970,10347.2,Crude oil
TX,1969,6680295,Crude oil
CA,1969,2176687.8,Crude oil
NM,1969,749516.6,Crude oil
AZ,1969,14111.4,Crude oil
TX,1968,6573604,Crude oil
CA,1968,2177876.8,Crude oil
NM,1968,745590,Crude oil
AZ,1968,19546,Crude oil
TX,1967,6495779.6,Crude oil
CA,1967,2083470.2,Crude oil
NM,1967,731635.2,Crude oil
AZ,1967,16959.2,Crude oil
TX,1966,6134694.8,Crude oil
CA,1966,2002711,Crude oil
NM,1966,720093.2,Crude oil
AZ,1966,765.6,Crude oil
TX,1965,5804344.2,Crude oil
CA,1965,1835282.4,Crude oil
NM,1965,691162.8,Crude oil
AZ,1965,562.6,Crude oil
TX,1964,5739245,Crude oil
CA,1964,1740052.2,Crude oil
NM,1964,660405.4,Crude oil
AZ,1964,371.2,Crude oil
TX,1963,5671443,Crude oil
CA,1963,1745266.4,Crude oil
NM,1963,637657.8,Crude oil
AZ,1963,394.4,Crude oil
TX,1962,5471302.4,Crude oil
CA,1962,1720222,Crude oil
NM,1962,634102.4,Crude oil
AZ,1962,226.2,Crude oil
TX,1961,5447307.8,Crude oil
CA,1961,1737732.2,Crude oil
NM,1961,652807.4,Crude oil
AZ,1961,423.4,Crude oil
TX,1960,5379378.2,Crude oil
CA,1960,1771041.6,Crude oil
NM,1960,622804,Crude oil
AZ,1960,423.4,Crude oil
TX,2009,434065.0738,Electricity produced from nuclear
CA,2009,332249.3898,Electricity produced from nuclear
AZ,2009,320722.9615,Electricity produced from nuclear
NM,2009,0,Electricity produced from nuclear
TX,2008,425723.1986,Electricity produced from nuclear
CA,2008,339538.015,Electricity produced from nuclear
AZ,2008,305755.4347,Electricity produced from nuclear
NM,2008,0,Electricity produced from nuclear
TX,2007,429413.4896,Electricity produced from nuclear
CA,2007,375284.2577,Electricity produced from nuclear
AZ,2007,280813.3696,Electricity produced from nuclear
NM,2007,0,Electricity produced from nuclear
TX,2006,430634.0052,Electricity produced from nuclear
CA,2006,333520.1688,Electricity produced from nuclear
AZ,2006,250591.6427,Electricity produced from nuclear
NM,2006,0,Electricity produced from nuclear
TX,2005,398994.297,Electricity produced from nuclear
CA,2005,377312.5155,Electricity produced from nuclear
AZ,2005,269326.5065,Electricity produced from nuclear
NM,2005,0,Electricity produced from nuclear
TX,2004,421619.6238,Electricity produced from nuclear
CA,2004,315603.2578,Electricity produced from nuclear
AZ,2004,293130.174,Electricity produced from nuclear
NM,2004,0,Electricity produced from nuclear
CA,2003,370922.8752,Electricity produced from nuclear
TX,2003,348452.0208,Electricity produced from nuclear
AZ,2003,297843.1533,Electricity produced from nuclear
NM,2003,0,Electricity produced from nuclear
TX,2002,371923.1978,Electricity produced from nuclear
CA,2002,358707.1343,Electricity produced from nuclear
AZ,2002,322260.0747,Electricity produced from nuclear
NM,2002,0,Electricity produced from nuclear
TX,2001,398534.7783,Electricity produced from nuclear
CA,2001,346911.4474,Electricity produced from nuclear
AZ,2001,299965.5257,Electricity produced from nuclear
NM,2001,0,Electricity produced from nuclear
TX,2000,391669.5112,Electricity produced from nuclear
CA,2000,366845.3417,Electricity produced from nuclear
AZ,2000,316838.975,Electricity produced from nuclear
NM,2000,0,Electricity produced from nuclear
TX,1999,384140.9446,Electricity produced from nuclear
CA,1999,348735.9057,Electricity produced from nuclear
AZ,1999,317842.7274,Electricity produced from nuclear
NM,1999,0,Electricity produced from nuclear
TX,1998,405845.6883,Electricity produced from nuclear
CA,1998,362927.8152,Electricity produced from nuclear
AZ,1998,317888.2631,Electricity produced from nuclear
NM,1998,0,Electricity produced from nuclear
TX,1997,392031.1476,Electricity produced from nuclear
CA,1997,320194.1663,Electricity produced from nuclear
AZ,1997,307623.2148,Electricity produced from nuclear
NM,1997,0,Electricity produced from nuclear
TX,1996,375656.0747,Electricity produced from nuclear
CA,1996,358119.3206,Electricity produced from nuclear
AZ,1996,302902.1823,Electricity produced from nuclear
NM,1996,0,Electricity produced from nuclear
TX,1995,379841.9718,Electricity produced from nuclear
CA,1995,317794.0496,Electricity produced from nuclear
AZ,1995,283526.2151,Electricity produced from nuclear
NM,1995,0,Electricity produced from nuclear
CA,1994,352778.3811,Electricity produced from nuclear
TX,1994,300447.6943,Electricity produced from nuclear
AZ,1994,242182.1841,Electricity produced from nuclear
NM,1994,0,Electricity produced from nuclear
CA,1993,331723.5888,Electricity produced from nuclear
AZ,1993,231601.4355,Electricity produced from nuclear
